series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
579,Battle Programmer Shirase,TV,15,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
36516,Beatless,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
10396,Ben-To,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
13535,Binbougami ga!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
20787,Black Bullet,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34572,Black Clover,TV,170,0,170,0000-00-00,2021-04-05,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
18767,BlazBlue: Alter Memory,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
269,Bleach,TV,366,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11633,Blood Lad,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
150,Blood+,TV,50,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
10490,Blood-C,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14117,Blood-C: Special Edition,Special,2,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
10681,Blood-C: The Last Dark,Movie,1,0,1,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33486,Boku no Hero Academia 2nd Season,TV,25,0,25,2017-06-14,2017-10-02,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36456,Boku no Hero Academia 3rd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38408,Boku no Hero Academia 4th Season,TV,25,0,25,0000-00-00,2020-04-26,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41587,Boku no Hero Academia 5th Season,TV,25,0,24,0000-00-00,2021-09-26,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49918,Boku no Hero Academia 6th Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
36896,Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10719,Boku wa Tomodachi ga Sukunai,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
21405,Bokura wa Minna Kawai-sou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
22433,Break Blade,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14345,Btooom!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33475,Busou Shoujo Machiavellianism,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
1689,Byousoku 5 Centimeter,Movie,3,0,3,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4981,Casshern Sins,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28833,Chain Chronicle: Haecceitas no Hikari,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30091,Chaos Dragon: Sekiryuu Seneki,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28999,Charlotte,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
18671,Chuunibyou demo Koi ga Shitai! Ren,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
2167,Clannad,TV,23,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
4181,Clannad: After Story,TV,24,0,0,2016-08-20,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
1818,Claymore,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32407,Clockwork Planet,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
15199,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
15201,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30711,Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34437,Code Geass: Fukkatsu no Lelouch,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12685,Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,25,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
4596,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11703,Code:Breaker,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31318,Comet Lucifer,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
